City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Grand Forks,US,47.9417,-97.4337,82.78,57,20,3.44,few clouds
1,Svetlaya,RU,46.5389,138.3297,63.7,93,100,8.23,overcast clouds
2,Basco,PH,20.4487,121.9702,83.77,75,7,11.83,clear sky
3,Ribeira Grande,PT,38.5167,-28.7,70.2,64,40,6.91,scattered clouds
4,Paris,FR,48.8534,2.3488,77.07,51,0,12.66,clear sky
5,Leningradskiy,RU,69.3833,178.4167,37.62,87,100,13.6,overcast clouds
6,Atuona,PF,-9.8,-139.0333,77.38,78,63,17.67,broken clouds
7,Avarua,CK,-21.2078,-159.775,75.25,53,75,5.75,broken clouds
8,Kibala,TD,9.1104,18.3463,80.55,69,20,3.44,few clouds
9,Butaritari,KI,3.0707,172.7902,82.13,78,17,17.36,light rain
10,Tari,NG,12.4086,4.4914,85.06,55,74,3.58,light rain
11,Lebu,CL,-37.6167,-73.65,50.7,77,3,7.49,clear sky
12,Chuy,UY,-33.6971,-53.4616,69.64,79,34,7.65,scattered clouds
13,Kodiak,US,57.79,-152.4072,55.89,71,66,8.1,broken clouds
14,Georgetown,MY,5.4112,100.3354,83.89,86,20,0.0,thunderstorm
15,Mataura,NZ,-46.1927,168.8643,32.49,94,63,3.31,broken clouds
16,Dhidhdhoo,MV,6.8833,73.1,81.41,81,100,15.93,overcast clouds
17,Aranos,NA,-24.1333,19.1167,47.39,41,0,10.56,clear sky
18,Bengkulu,ID,-3.8004,102.2655,74.28,89,99,3.47,overcast clouds
19,Jamestown,US,42.097,-79.2353,82.02,31,0,3.44,clear sky
20,Solnechnyy,RU,50.7214,136.6319,63.48,83,38,2.1,scattered clouds
21,Bluff,NZ,-46.6,168.3333,32.81,79,79,15.08,broken clouds
22,Grand-Santi,GF,4.25,-54.3833,76.8,94,100,3.51,overcast clouds
23,Portland,US,45.5234,-122.6762,78.87,54,91,4.0,overcast clouds
24,Bestobe,KZ,52.4994,73.0975,68.94,73,97,8.77,light rain
25,Nikolskoye,RU,59.7035,30.7861,62.49,98,26,3.06,scattered clouds
26,Vagay,RU,57.9375,69.0217,66.83,91,78,1.19,broken clouds
27,Port Alfred,ZA,-33.5906,26.891,60.28,75,98,14.63,light rain
28,Cape Town,ZA,-33.9258,18.4232,54.12,89,0,1.99,clear sky
29,Ancud,CL,-41.8697,-73.8203,47.23,88,95,8.66,light rain
30,Vaini,TO,-21.2,-175.2,73.56,88,40,8.05,scattered clouds
31,Luderitz,NA,-26.6481,15.1594,56.71,76,0,13.69,clear sky
32,Olafsvik,IS,64.8945,-23.7142,50.58,93,100,8.37,overcast clouds
33,Busselton,AU,-33.65,115.3333,55.13,63,98,2.13,overcast clouds
34,Port Keats,AU,-14.25,129.55,59.07,45,67,8.5,broken clouds
35,Khani,GE,41.9563,42.9566,62.17,92,22,0.43,few clouds
36,Albany,US,42.6001,-73.9662,81.68,36,78,1.01,broken clouds
37,Ponta Do Sol,PT,32.6667,-17.1,79.72,73,4,3.83,clear sky
38,Balkhash,KZ,46.844,74.9804,71.26,52,5,10.8,clear sky
39,Tromso,NO,69.6496,18.957,55.42,76,75,4.61,broken clouds
40,Kapaa,US,22.0752,-159.319,80.58,75,66,11.01,broken clouds
41,Watertown,US,42.3709,-71.1828,85.57,33,20,12.66,few clouds
42,Cherskiy,RU,68.75,161.3,51.93,56,100,8.03,overcast clouds
43,Visby,SE,57.6409,18.296,59.22,67,28,5.75,scattered clouds
44,Qaanaaq,GL,77.484,-69.3632,44.24,71,100,4.52,overcast clouds
45,Ilulissat,GL,69.2167,-51.1,38.97,83,47,4.56,scattered clouds
46,New Norfolk,AU,-42.7826,147.0587,49.5,76,100,3.0,overcast clouds
47,Torbay,CA,47.6666,-52.7314,68.88,56,40,29.93,scattered clouds
48,Punta Arenas,CL,-53.15,-70.9167,35.71,69,75,2.3,broken clouds
49,Pevek,RU,69.7008,170.3133,32.65,87,92,3.33,overcast clouds
50,Yellowknife,CA,62.456,-114.3525,72.12,60,75,6.91,broken clouds
51,Arroyo,ES,41.6096,-4.7969,87.84,16,0,6.91,clear sky
52,Saint George,US,37.1041,-113.5841,106.63,12,16,7.0,few clouds
53,Hilo,US,19.7297,-155.09,83.28,95,46,6.17,scattered clouds
54,Norman Wells,CA,65.282,-126.8329,73.44,46,75,6.91,smoke
55,Airai,TL,-8.9266,125.4092,55.06,91,77,3.62,broken clouds
56,Jinxiang,CN,27.4327,120.6062,79.7,92,80,10.16,broken clouds
57,Longavi,CL,-35.9667,-71.6833,49.53,80,88,6.04,overcast clouds
58,Yunyang,CN,33.4474,112.7142,72.07,88,99,10.25,overcast clouds
59,Shasta Lake,US,40.6804,-122.3708,97.74,16,0,2.95,clear sky
60,Lagoa,PT,39.05,-27.9833,68.23,70,16,6.04,few clouds
61,Alice Springs,AU,-23.7,133.8833,26.15,80,0,5.75,clear sky
62,Zhangjiakou,CN,40.81,114.8794,67.37,73,23,2.39,few clouds
63,Tongchuan,CN,35.0806,109.0897,73.31,88,72,7.81,broken clouds
64,Gemena,CD,3.25,19.7667,72.34,93,71,1.97,broken clouds
65,Cockburn Town,TC,21.4612,-71.1419,81.93,80,99,17.25,overcast clouds
66,Aksu,CN,41.1231,80.2644,72.9,39,74,2.3,broken clouds
67,Ushuaia,AR,-54.8,-68.3,33.46,69,75,8.05,broken clouds
68,Baykit,RU,61.67,96.37,48.4,95,0,4.76,clear sky
69,Saint-Philippe,RE,-21.3585,55.7679,63.99,74,45,14.85,scattered clouds
70,Ayagoz,KZ,47.9714,80.4392,63.01,55,13,7.83,few clouds
71,Rikitea,PF,-23.1203,-134.9692,72.7,79,24,5.44,few clouds
72,Hirara,JP,24.8,125.2833,84.63,74,15,12.53,few clouds
73,East London,ZA,-33.0153,27.9116,62.64,65,99,6.11,overcast clouds
74,Brae,GB,60.3964,-1.353,54.28,89,100,13.4,overcast clouds
75,Miles City,US,46.4083,-105.8406,86.23,26,26,18.72,scattered clouds
76,Faanui,PF,-16.4833,-151.75,78.57,73,91,19.13,light rain
77,Zhanakorgan,KZ,43.9098,67.2495,76.86,31,0,8.3,clear sky
78,Hermanus,ZA,-34.4187,19.2345,51.8,69,64,7.81,broken clouds
79,Manicore,BR,-5.8092,-61.3003,89.55,62,20,4.61,few clouds
80,Vila Franca Do Campo,PT,37.7167,-25.4333,71.2,72,35,6.15,scattered clouds
81,Maua,BR,-23.6678,-46.4614,77.29,43,97,1.83,overcast clouds
82,Zyryanka,RU,65.75,150.85,67.26,52,41,6.24,scattered clouds
83,Turnu Magurele,RO,43.75,24.8667,74.08,55,9,3.2,clear sky
84,Beringovskiy,RU,63.05,179.3167,45.34,87,100,16.89,light rain
85,Hobart,AU,-42.8794,147.3294,49.86,79,100,12.66,overcast clouds
86,Kavieng,PG,-2.5744,150.7967,81.14,78,54,11.7,light rain
87,Najran,SA,17.4924,44.1277,86.65,28,100,7.52,light rain
88,Pisco,PE,-13.7,-76.2167,66.25,68,0,11.5,clear sky
89,Victoria,HK,22.2855,114.1577,86.18,86,85,3.0,overcast clouds
90,Kaitangata,NZ,-46.2817,169.8464,37.9,86,58,6.13,broken clouds
91,Cao Bang,VN,22.6667,106.25,75.52,97,59,0.76,broken clouds
92,Khatanga,RU,71.9667,102.5,47.37,61,94,12.73,overcast clouds
93,Yulara,AU,-25.2406,130.9889,43.77,48,0,6.38,clear sky
94,Bambous Virieux,MU,-20.3428,57.7575,70.21,68,40,17.27,scattered clouds
95,Barrow,US,71.2906,-156.7887,51.24,64,29,3.85,scattered clouds
96,Nome,US,64.5011,-165.4064,68.16,63,100,7.02,overcast clouds
97,Mar Del Plata,AR,-38.0023,-57.5575,57.22,78,0,10.0,clear sky
98,Golyshmanovo,RU,56.3979,68.3728,68.32,83,92,7.29,overcast clouds
99,Chuguyevka,RU,44.1653,133.8633,64.99,98,100,1.97,light rain
100,Koulamoutou,GA,-1.1303,12.4736,77.88,62,55,2.89,broken clouds
101,Salalah,OM,17.0151,54.0924,77.05,96,100,8.23,light rain
102,Puerto Del Rosario,ES,28.5004,-13.8627,85.75,45,0,18.41,clear sky
103,Nantucket,US,41.2835,-70.0995,69.03,80,0,8.37,clear sky
104,Tasiilaq,GL,65.6145,-37.6368,40.05,79,43,2.48,scattered clouds
105,Santa Maria,BR,-29.6842,-53.8069,78.1,50,0,17.27,heavy intensity rain
106,Borgarnes,IS,64.5383,-21.9206,54.81,93,100,3.11,overcast clouds
107,Rio Gallegos,AR,-51.6226,-69.2181,30.25,74,0,3.44,clear sky
108,Bac Lieu,VN,9.285,105.7244,75.25,93,100,17.9,overcast clouds
109,Honningsvag,NO,70.9821,25.9704,51.55,87,75,5.75,broken clouds
110,Singkang,MY,2.1006,102.7994,74.61,97,100,0.78,overcast clouds
111,San Policarpo,PH,12.1791,125.5072,78.24,87,100,4.16,light rain
112,Makakilo City,US,21.3469,-158.0858,81.01,63,100,19.6,overcast clouds
113,Kavaratti,IN,10.5669,72.642,81.3,80,100,20.18,overcast clouds
114,Touros,BR,-5.1989,-35.4608,77.47,81,11,17.16,few clouds
115,Nioki,CD,-2.7167,17.6833,78.35,37,99,1.68,overcast clouds
116,Vizinga,RU,61.0749,50.1031,64.15,89,60,2.3,broken clouds
117,Upernavik,GL,72.7868,-56.1549,38.86,84,55,3.69,broken clouds
118,Miri,MY,4.4148,114.0089,75.34,83,20,10.36,few clouds
