City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mbuji-Mayi,CD,2022-07-09 16:47:32,-6.15,23.6,81.01,26,7,5.12
1,Kahului,US,2022-07-09 16:44:25,20.8947,-156.47,76.84,84,40,13.8
2,Salalah,OM,2022-07-09 16:44:09,17.0151,54.0924,77.09,100,100,8.05
3,Jega,NG,2022-07-09 16:47:32,12.2175,4.3792,95.59,37,75,8.55
4,Katobu,ID,2022-07-09 16:47:33,-4.9408,122.5276,74.17,94,29,6.02
5,Dikson,RU,2022-07-09 16:43:39,73.5069,80.5464,33.19,89,33,7.43
6,Mersing,MY,2022-07-09 16:47:33,2.4312,103.8405,80.51,83,40,4.61
7,Puerto Ayora,EC,2022-07-09 16:44:45,-0.7393,-90.3518,75.16,97,89,8.01
8,Kapaa,US,2022-07-09 16:44:44,22.0752,-159.319,75.52,90,40,13.8
9,Ahuimanu,US,2022-07-09 16:47:33,21.4447,-157.8378,76.35,83,75,12.66
10,Raudeberg,NO,2022-07-09 16:47:34,61.9875,5.1352,52.47,84,100,15.79
11,Sitka,US,2022-07-09 16:47:34,57.0531,-135.33,57.09,88,100,3.44
12,Cockburn Town,TC,2022-07-09 16:47:34,21.4612,-71.1419,84.16,65,75,14.97
13,Puerto Madryn,AR,2022-07-09 16:47:34,-42.7692,-65.0385,58.89,32,97,20.33
14,Thompson,CA,2022-07-09 16:43:33,55.7435,-97.8558,66.36,82,100,4.61
15,Khatanga,RU,2022-07-09 16:47:35,71.9667,102.5,45.61,93,100,2.55
16,Baoshan,CN,2022-07-09 16:47:35,46.5586,131.4244,64.83,95,98,6.58
17,Cape Town,ZA,2022-07-09 16:46:17,-33.9258,18.4232,59.38,88,75,14.97
18,Atuona,PF,2022-07-09 16:44:39,-9.8,-139.0333,76.95,81,30,19.35
19,Bajos De Haina,DO,2022-07-09 16:47:35,18.4154,-70.0332,90.21,70,75,5.75
20,Belaya Gora,RU,2022-07-09 16:47:35,68.5333,146.4167,42.82,90,47,4.76
21,Bonfim,BR,2022-07-09 16:47:36,3.0833,-59.95,85.33,66,54,5.12
22,San Patricio,US,2022-07-09 16:47:36,28.017,-97.5169,94.06,40,8,4.7
23,Alice Springs,AU,2022-07-09 16:47:36,-23.7,133.8833,33.35,80,0,0.0
24,Barrow,US,2022-07-09 16:47:36,71.2906,-156.7887,48.22,81,0,11.5
25,Rikitea,PF,2022-07-09 16:43:31,-23.1203,-134.9692,74.64,77,100,15.84
26,Santa Marta,CO,2022-07-09 16:47:37,11.2408,-74.199,91.45,61,40,8.01
27,Vao,NC,2022-07-09 16:47:37,-22.6667,167.4833,74.53,86,1,10.4
28,Ribeira Grande,PT,2022-07-09 16:47:37,38.5167,-28.7,73.8,64,75,19.57
29,Ushuaia,AR,2022-07-09 16:43:29,-54.8,-68.3,28.06,86,75,18.41
30,Chokurdakh,RU,2022-07-09 16:47:38,70.6333,147.9167,45.28,59,100,3.0
31,Port Hardy,CA,2022-07-09 16:46:05,50.6996,-127.4199,57.38,94,100,2.3
32,Mataura,NZ,2022-07-09 16:43:33,-46.1927,168.8643,35.47,92,23,2.13
33,Punta Arenas,CL,2022-07-09 16:39:49,-53.15,-70.9167,32.11,64,20,11.5
34,Butaritari,KI,2022-07-09 16:47:38,3.0707,172.7902,81.01,80,25,13.71
35,Bonoua,CI,2022-07-09 16:47:38,5.2741,-3.595,82.02,83,100,9.46
36,Strelka,RU,2022-07-09 16:47:38,58.0728,93.0344,60.55,86,73,2.26
37,Kihei,US,2022-07-09 16:47:39,20.785,-156.4656,76.84,85,40,13.8
38,Zimovniki,RU,2022-07-09 16:47:39,47.1483,42.4633,88.18,20,38,14.63
39,Jamestown,US,2022-07-09 16:41:35,42.097,-79.2353,78.06,49,0,11.5
40,Yar-Sale,RU,2022-07-09 16:47:39,66.8333,70.8333,59.77,65,56,4.47
41,Georgetown,MY,2022-07-09 16:43:24,5.4112,100.3354,84.88,76,20,0.0
42,Hilo,US,2022-07-09 16:47:40,19.7297,-155.09,74.62,89,100,5.75
43,Arraial Do Cabo,BR,2022-07-09 16:48:40,-22.9661,-42.0278,80.56,65,20,12.66
44,Berlevag,NO,2022-07-09 16:48:40,70.8578,29.0864,55.4,87,100,9.22
45,Busselton,AU,2022-07-09 16:43:29,-33.65,115.3333,56.57,63,89,23.53
46,Praia Da Vitoria,PT,2022-07-09 16:48:40,38.7333,-27.0667,74.75,73,40,9.48
47,Beysehir,TR,2022-07-09 16:48:41,37.6773,31.7246,74.73,44,0,9.91
48,Bluff,NZ,2022-07-09 16:44:40,-46.6,168.3333,35.8,70,66,4.07
49,Perth,AU,2022-07-09 16:45:30,-31.9333,115.8333,60.78,77,40,16.11
50,Bathsheba,BB,2022-07-09 16:44:41,13.2167,-59.5167,88.41,84,20,21.85
51,Lorengau,PG,2022-07-09 16:48:41,-2.0226,147.2712,81.64,78,99,10.0
52,Chumikan,RU,2022-07-09 16:48:42,54.7183,135.315,52.5,94,100,6.17
53,Tuktoyaktuk,CA,2022-07-09 16:47:04,69.4541,-133.0374,48.2,100,100,8.05
54,Coihaique,CL,2022-07-09 16:40:45,-45.5752,-72.0662,38.01,100,100,3.44
55,Chingirlau,KZ,2022-07-09 16:48:42,51.095,54.0814,72.7,59,57,7.45
56,Albany,US,2022-07-09 16:43:30,42.6001,-73.9662,76.95,48,1,1.99
57,Camacha,PT,2022-07-09 16:48:42,33.0833,-16.3333,69.22,78,20,21.85
58,Beaver Dam,US,2022-07-09 16:48:43,43.4578,-88.8373,76.01,53,0,6.91
59,Kismayo,SO,2022-07-09 16:48:43,-0.3582,42.5454,76.05,78,4,18.05
60,East London,ZA,2022-07-09 16:48:43,-33.0153,27.9116,65.34,63,0,5.75
61,Damaturu,NG,2022-07-09 16:48:43,11.747,11.9608,92.89,35,84,10.63
62,Liberal,US,2022-07-09 16:47:03,37.0431,-100.921,87.94,42,0,6.91
63,Oussouye,SN,2022-07-09 16:48:44,12.485,-16.5469,87.98,66,91,9.86
64,Lierneux,BE,2022-07-09 16:48:44,50.2848,5.7924,70.68,71,99,5.01
65,Yellowknife,CA,2022-07-09 16:44:40,62.456,-114.3525,61.32,94,75,13.8
66,Ponta Do Sol,PT,2022-07-09 16:48:44,32.6667,-17.1,75.83,60,4,2.84
67,Gigmoto,PH,2022-07-09 16:48:44,13.7796,124.39,80.08,85,99,2.19
68,Tiksi,RU,2022-07-09 16:48:45,71.6872,128.8694,50.0,58,61,11.32
69,Nosy Varika,MG,2022-07-09 16:48:45,-20.5833,48.5333,67.6,78,65,9.24
70,Kaitangata,NZ,2022-07-09 16:46:21,-46.2817,169.8464,33.75,86,60,4.41
71,Mocuba,MZ,2022-07-09 16:48:45,-16.8392,36.9856,66.11,81,31,5.7
72,Umba,RU,2022-07-09 16:48:46,66.6871,34.3429,58.96,68,92,6.71
73,Homer,US,2022-07-09 16:48:46,59.6425,-151.5483,56.8,79,0,10.0
74,Nanortalik,GL,2022-07-09 16:44:44,60.1432,-45.2371,43.95,91,95,4.7
75,Hermanus,ZA,2022-07-09 16:43:36,-34.4187,19.2345,58.96,75,23,10.49
